step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,direction,theta,alpha,angle_error,ideal_tmp,actual_tmp,IND
0,8:41:49,0,10328,16186,16259,10373,1,CW,0,-0.100316867,-0.100316867,,,0
1,8:41:49,614,10032,15878,16542,10686,1,CW,5.526,5.558606051,0.032606051,,,1
2,8:41:50,632,9776,15527,16808,11026,1,CW,11.214,11.32555132,0.111551322,,,2
3,8:41:50,624,9556,15163,17041,11392,1,CW,16.83,17.0432672,0.213267202,,,3
4,8:41:50,639,9356,14780,17231,11786,1,CW,22.581,22.82393501,0.242935009,,,4
5,8:41:50,613,9205,14391,17375,12165,1,CW,28.098,28.29265737,0.194657372,,,5
6,8:41:51,634,9096,13970,17486,12566,1,CW,33.804,33.95549979,0.151499787,,,6
7,8:41:51,625,9030,13566,17555,12981,1,CW,39.429,39.48791042,0.05891042,,,7
8,8:41:51,622,8998,13150,17571,13390,1,CW,45.027,45.00998467,-0.017015332,,,8
9,8:41:52,611,9020,12751,17561,13791,1,CW,50.526,50.375079,-0.150921,,,9
10,8:41:52,621,9078,12341,17503,14194,1,CW,56.115,55.8962461,-0.218753899,,,10
11,8:41:52,626,9178,11945,17398,14607,1,CW,61.749,61.52821748,-0.220782523,,,11
12,8:41:52,628,9326,11560,17262,14996,1,CW,67.401,67.11328879,-0.287711207,,,12
13,8:41:53,631,9512,11176,17078,15367,1,CW,73.08,72.83011145,-0.249888552,,,13
14,8:41:53,613,9725,10831,16860,15722,1,CW,78.597,78.43632111,-0.160678892,23.103,22.705,14
15,8:41:53,630,9970,10498,16597,16051,1,CW,84.267,84.13976521,-0.127234787,23.103,22.705,15
16,8:41:54,617,10260,10194,16324,16358,1,CW,89.82,89.8246617,0.004661696,23.103,22.705,16
17,8:41:54,617,10572,9920,16021,16636,1,CW,95.373,95.47620851,0.103208514,22.93971667,22.70416667,17
18,8:41:54,621,10902,9672,15671,16885,1,CW,100.962,101.2270888,0.265088838,22.93971667,22.70416667,18
19,8:41:55,617,11255,9468,15321,17095,1,CW,106.515,106.7839551,0.268955105,22.93971667,22.70416667,19
20,8:41:55,635,11642,9289,14947,17271,1,CW,112.23,112.4848025,0.254802549,22.77643333,22.70333333,20
21,8:41:55,617,12027,9156,14552,17413,1,CW,117.783,118.0762492,0.293249219,22.77643333,22.70333333,21
22,8:41:55,634,12437,9065,14148,17520,1,CW,123.489,123.7136851,0.224685121,22.77643333,22.70333333,22
23,8:41:56,616,12850,9013,13753,17571,1,CW,129.033,129.1707201,0.137720091,22.77643333,22.70333333,23
24,8:41:56,611,13253,9002,13339,17577,1,CW,134.532,134.6269124,0.094912405,22.61315,22.7025,24
25,8:41:56,618,13654,9037,12926,17552,1,CW,140.094,140.0627917,-0.03120833,22.61315,22.7025,25
26,8:41:57,623,14071,9114,12521,17486,1,CW,145.701,145.6060714,-0.094928587,22.61315,22.7025,26
27,8:41:57,626,14477,9224,12111,17358,1,CW,151.335,151.2432088,-0.091791194,22.44986667,22.70166667,27
28,8:41:57,616,14862,9382,11721,17214,1,CW,156.879,156.7593505,-0.119649497,22.44986667,22.70166667,28
29,8:41:57,628,15241,9582,11334,17020,1,CW,162.531,162.4709313,-0.060068726,22.44986667,22.70166667,29
30,8:41:58,625,15616,9814,10980,16794,1,CW,168.156,168.1844793,0.02847933,22.44986667,22.70166667,30
31,8:41:58,630,15959,10075,10633,16530,1,CW,173.826,173.939675,0.113674976,22.28658333,22.70083333,31
32,8:41:58,609,16268,10367,10315,16247,1,CW,179.307,179.5869615,0.279961524,22.28658333,22.70083333,32
33,8:41:59,618,16559,10687,10039,15939,1,CW,184.869,185.2051984,0.336198357,22.28658333,22.70083333,33
34,8:41:59,627,16819,11023,9771,15581,1,CW,190.512,190.9958643,0.483864274,22.1233,22.7,34
35,8:41:59,625,17045,11393,9546,15231,1,CW,196.137,196.6352832,0.498283174,22.1233,22.7,35
36,8:42:00,637,17228,11776,9350,14839,1,CW,201.87,202.3660189,0.496018909,22.1233,22.7,36
37,8:42:00,613,17389,12165,9210,14451,1,CW,207.387,207.9028534,0.51585336,21.96001667,22.69916667,37
38,8:42:00,636,17493,12569,9093,14041,1,CW,213.111,213.515513,0.404513044,21.96001667,22.69916667,38
39,8:42:00,627,17559,12990,9022,13634,1,CW,218.754,219.1122306,0.358230617,21.96001667,22.69916667,39
40,8:42:01,625,17585,13397,9001,13215,1,CW,224.379,224.6472341,0.268234106,21.96001667,22.69916667,40
41,8:42:01,616,17573,13793,9017,12806,1,CW,229.923,230.0523504,0.129350361,21.79673333,22.69833333,41
42,8:42:01,624,17515,14206,9075,12409,1,CW,235.539,235.563823,0.024822977,21.79673333,22.69833333,42
43,8:42:02,636,17405,14616,9178,12001,1,CW,241.263,241.2838758,0.02087584,21.79673333,22.69833333,43
44,8:42:02,628,17267,14996,9325,11606,1,CW,246.915,246.8974335,-0.017566529,21.63345,22.6975,44
45,8:42:02,637,17086,15380,9510,11231,1,CW,252.648,252.6476656,-0.000334431,21.63345,22.6975,45
46,8:42:02,624,16865,15734,9724,10882,1,CW,258.264,258.3069415,0.042941524,21.63345,22.6975,46
47,8:42:03,633,16621,16068,9984,10546,1,CW,263.961,264.0586456,0.097645599,21.63345,22.6975,47
48,8:42:03,621,16299,16335,10246,10214,1,CW,269.55,269.8075682,0.257568173,21.47016667,22.69666667,48
49,8:42:03,632,16010,16648,10572,9956,1,CW,275.238,275.5762188,0.338218762,21.47016667,22.69666667,49
50,8:42:04,628,15675,16895,10913,9707,1,CW,280.89,281.3252666,0.435266624,21.47016667,22.69666667,50
