cycle,encoder_error_cw,encoder_error_ccw
1,0,10
2,17.0,13.0
3,18.0,13.0
4,18.0,13.0
5,18.0,13.0
6,16.0,13.0
7,17.0,6.0
8,14.0,2.0
9,11.0,2.0
10,11.0,-4.0
11,11.0,-5.0
12,10.0,-4.0
13,10.0,-5.0
14,11.0,-4.0
15,10.0,-4.0
16,10.0,-4.0
17,12.0,2.0
18,14.0,3.0
19,13.0,2.0
20,13.0,2.0
21,13.0,3.0
22,10.0,2.0
23,12.0,7.0
24,14.0,7.0
25,14.0,3.0
26,12.0,3.0
27,12.0,8.0
28,14.0,3.0
29,13.0,3.0
30,12.0,-3.0
31,11.0,-3.0
32,11.0,-4.0
33,9.0,-4.0
34,7.0,-4.0
35,7.0,-11.0
36,5.0,-10.0
37,7.0,-3.0
38,10.0,-4.0
39,10.0,-4.0
40,10.0,-4.0
41,8.0,3.0
42,11.0,2.0
43,11.0,-6.0
44,3.0,-11.0
45,7.0,-12.0
46,6.0,-11.0
47,3.0,-17.0
48,-2.0,-17.0
49,-1.0,-18.0
50,0.0,-18.0
51,-7.0,-22.0
52,-9.0,-21.0
53,-8.0,-22.0
54,-13.0,-24.0
55,-14.0,-24.0
56,-15.0,-26.0
57,-18.0,-26.0
58,-18.0,-26.0
59,-18.0,-26.0
60,-19.0,-26.0
61,-17.0,-26.0
62,-17.0,-26.0
63,-23.0,-31.0
64,-23.0,-31.0
65,-23.0,-30.0
66,-23.0,-28.0
67,-23.0,-29.0
68,-23.0,-31.0
69,-23.0,-31.0
70,-28.0,-37.0
71,-35.0,-42.0
72,-36.0,-42.0
73,-36.0,-43.0
74,-41.0,-50.0
75,-41.0,-50.0
76,-41.0,-50.0
77,-40.0,-52.0
78,-44.0,-52.0
79,-44.0,-50.0
80,-45.0,-51.0
81,-48.0,-56.0
82,-49.0,-55.0
83,-48.0,-55.0
84,-55.0,-62.0
85,-54.0,-62.0
86,-61.0,-64.0
87,-64.0,-70.0
88,-70.0,-73.0
89,-70.0,-76.0
90,-77.0,-80.0
91,-79.0,-82.0
92,-77.0,-83.0
93,-78.0,-82.0
94,-77.0,-76.0
95,-75.0,-77.0
96,-75.0,-83.0
97,-84.0,-89.0
98,-84.0,-90.0
99,-89.0,-90.0
100,-89.0,-89.0
101,-91.0,-90.0
102,-88.0,-89.0
103,-91.0,-86.0
104,-84.0,-86.0
105,-83.0,-81.0
106,-76.0,-79.0
107,-75.0,-75.0
108,-75.0,-75.0
109,-75.0,-81.0
110,-79.0,-81.0
111,-81.0,-81.0
112,-83.0,-89.0
113,-87.0,-81.0
114,-82.0,-81.0
115,-82.0,-80.0
116,-83.0,-82.0
117,-84.0,-87.0
118,-88.0,-88.0
119,-90.0,-93.0
120,-89.0,-88.0
121,-87.0,-86.0
122,-81.0,-81.0
123,-81.0,-81.0
124,-82.0,-81.0
125,-74.0,-74.0
126,-73.0,-73.0
127,-66.0,-67.0
128,-66.0,-68.0
129,-66.0,-68.0
130,-63.0,-67.0
131,-66.0,-75.0
132,-72.0,-79.0
133,-80.0,-81.0
134,-82.0,-80.0
135,-81.0,-78.0
136,-73.0,-75.0
137,-72.0,-75.0
138,-73.0,-82.0
139,-81.0,-80.0
140,-77.0,-77.0
141,-72.0,-76.0
142,-72.0,-70.0
143,-68.0,-69.0
144,-67.0,-69.0
145,-62.0,-69.0
146,-66.0,-69.0
147,-67.0,-69.0
148,-66.0,-70.0
149,-68.0,-70.0
150,-69.0,-69.0
151,-67.0,-70.0
152,-76.0,-82.0
153,-93.0,-88.0
154,-86.0,-86.0
155,-83.0,-80.0
156,-77.0,-80.0
157,-83.0,-80.0
158,-82.0,-80.0
159,-77.0,-80.0
160,-78.0,-80.0
161,-78.0,-78.0
162,-72.0,-81.0
163,-78.0,-79.0
164,-77.0,-80.0
165,-78.0,-85.0
166,-86.0,-84.0
167,-81.0,-80.0
168,-79.0,-79.0
169,-78.0,-79.0
