step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,direction,theta,alpha,angle_error
0,2025-04-16 14:40:11,0,16297,16064,10066,10335,1,CW,0.0,0.2908428557382763,0.2908428557382763
1,2025-04-16 14:40:11,644,15977,16373,10382,10023,1,CW,5.795999999999999,6.151864375922457,0.355864375922458
2,2025-04-16 14:40:11,623,15644,16644,10714,9752,1,CW,11.402999999999999,11.81374095556555,0.4107409555655508
3,2025-04-16 14:40:12,632,15285,16879,11072,9511,1,CW,17.090999999999998,17.500669924742397,0.40966992474239916
4,2025-04-16 14:40:12,622,14913,17084,11445,9306,1,CW,22.688999999999997,23.12415990089744,0.4351599008974425
5,2025-04-16 14:40:12,626,14523,17249,11834,9137,1,CW,28.322999999999997,28.735212723209145,0.4122127232091479
6,2025-04-16 14:40:13,628,14120,17376,12236,9009,1,CW,33.974999999999994,34.334641436370134,0.3596414363701399
7,2025-04-16 14:40:13,625,13717,17462,12643,8919,1,CW,39.599999999999994,39.84029253058105,0.24029253058105837
8,2025-04-16 14:40:13,637,13300,17505,13064,8874,1,CW,45.33299999999999,45.45359594752267,0.12059594752268055
9,2025-04-16 14:40:13,629,12884,17502,13479,8869,1,CW,50.99399999999999,51.00897224724889,0.014972247248898896
10,2025-04-16 14:40:14,638,12472,17461,13894,8912,1,CW,56.73599999999999,56.58780129141917,-0.1481987085808214
11,2025-04-16 14:40:14,622,12073,17377,14298,8991,1,CW,62.33399999999999,62.108237531036366,-0.22576246896362306
12,2025-04-16 14:40:14,622,11679,17252,14690,9115,1,CW,67.93199999999999,67.68562838704105,-0.2463716129589386
13,2025-04-16 14:40:15,621,11302,17091,15070,9272,1,CW,73.52099999999999,73.25904191515576,-0.261958084844224
14,2025-04-16 14:40:15,630,10936,16887,15434,9469,1,CW,79.19099999999999,78.92856113019718,-0.26243886980280706
15,2025-04-16 14:40:15,635,10588,16648,15787,9710,1,CW,84.90599999999999,84.72457614456914,-0.18142385543085027
16,2025-04-16 14:40:16,618,10268,16383,16104,9970,1,CW,90.46799999999999,90.35957903544539,-0.10842096455459682
17,2025-04-16 14:40:16,637,9967,16076,16404,10272,1,CW,96.201,96.19677571134173,-0.004224288658264186
18,2025-04-16 14:40:16,626,9701,15751,16673,10594,1,CW,101.835,101.91182053146201,0.07682053146201895
19,2025-04-16 14:40:16,633,9468,15398,16907,10945,1,CW,107.532,107.64376186219187,0.11176186219186945
20,2025-04-16 14:40:17,613,9273,15031,17100,11308,1,CW,113.04899999999999,113.2307637137414,0.18176371374140388
21,2025-04-16 14:40:17,617,9114,14648,17259,11691,1,CW,118.60199999999999,118.80934177402918,0.20734177402918874
22,2025-04-16 14:40:17,629,8995,14243,17376,12091,1,CW,124.26299999999999,124.42392559038643,0.16092559038644083
23,2025-04-16 14:40:18,625,8916,13827,17453,12505,1,CW,129.88799999999998,130.04943521241216,0.1614352124121865
24,2025-04-16 14:40:18,634,8881,13403,17488,12927,1,CW,135.59399999999997,135.67712332351124,0.08312332351127338
25,2025-04-16 14:40:18,616,8893,12987,17476,13343,1,CW,141.13799999999998,141.17243582621984,0.03443582621986252
26,2025-04-16 14:40:18,630,8948,12565,17420,13764,1,CW,146.80799999999996,146.7705505896056,-0.03744941039437322
27,2025-04-16 14:40:19,623,9044,12153,17323,14177,1,CW,152.41499999999996,152.33762521871165,-0.07737478128831299
28,2025-04-16 14:40:19,620,9182,11751,17185,14579,1,CW,157.99499999999998,157.91543903440788,-0.07956096559209413
29,2025-04-16 14:40:19,611,9360,11368,17011,14966,1,CW,163.49399999999997,163.46874790924005,-0.02525209075992052
30,2025-04-16 14:40:20,619,9569,10994,16799,15337,1,CW,169.06499999999997,169.0828769818488,0.017876981848843343
31,2025-04-16 14:40:20,633,9826,10634,16541,15702,1,CW,174.76199999999997,174.91866705035864,0.15666705035866357
32,2025-04-16 14:40:20,618,10108,10308,16264,16028,1,CW,180.32399999999998,180.56051143003197,0.23651143003198172
33,2025-04-16 14:40:21,636,10422,10000,15948,16341,1,CW,186.04799999999997,186.3752522445766,0.32725224457661284
34,2025-04-16 14:40:21,612,10754,9733,15620,16611,1,CW,191.55599999999998,191.9701029565341,0.41410295653412277
35,2025-04-16 14:40:21,624,11110,9493,15265,16852,1,CW,197.17199999999997,197.61665420530153,0.4446542053015605
36,2025-04-16 14:40:21,619,11482,9292,14893,17056,1,CW,202.74299999999997,203.192669569156,0.4496695691560433
37,2025-04-16 14:40:22,618,11869,9130,14510,17223,1,CW,208.30499999999998,208.71099291953033,0.4059929195303482
38,2025-04-16 14:40:22,620,12269,9003,14113,17351,1,CW,213.885,214.23396225964007,0.348962259640075
39,2025-04-16 14:40:22,619,12674,8920,13708,17440,1,CW,219.456,219.71144210475723,0.25544210475723617
40,2025-04-16 14:40:23,627,13091,8879,13295,17489,1,CW,225.099,225.250196577387,0.15119657738699743
